manufacturer,year,model,total_range_in_mls
Chevrolet,2024,Suburban 2WD,644
Chevrolet,2023,Suburban 2WD,552
Chevrolet,2022,Suburban 2WD,437
Chevrolet,2021,Suburban 2WD,437
Chevrolet,2024,Silverado 4WD,483
Chevrolet,2020,Camaro,483
Chevrolet,2019,Camaro,483
Chevrolet,2022,Colorado 2WD,483
Chevrolet,2021,Colorado 2WD,528
Chevrolet,2020,Colorado 2WD,528
Chevrolet,2019,Colorado 2WD,528
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,427
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,427
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,462
Chevrolet,2021,Blazer FWD,462
Chevrolet,2019,Blazer FWD,462
Chevrolet,2020,Colorado 2WD,616
Chevrolet,2019,Colorado 2WD,616
Chevrolet,2019,Colorado 2WD,616
Chevrolet,2024,Suburban 4WD,616
Chevrolet,2023,Suburban 4WD,528
Chevrolet,2022,Suburban 4WD,528
Chevrolet,2021,Suburban 4WD,528
Chevrolet,2024,Tahoe 4WD,616
Chevrolet,2023,Tahoe 4WD,471
Chevrolet,2022,Tahoe 4WD,471
Chevrolet,2021,Tahoe 4WD,418
Chevrolet,2019,Traverse FWD,418
Chevrolet,2023,Colorado 2WD,418
Chevrolet,2024,Colorado 2WD,418
Chevrolet,2022,Camaro,418
Chevrolet,2021,Camaro,462
Chevrolet,2020,Camaro,462
Chevrolet,2019,Camaro,462
Chevrolet,2023,Camaro,462
Chevrolet,2022,Colorado 4WD,407
Chevrolet,2021,Colorado 4WD,407
Chevrolet,2020,Colorado 4WD,427
Chevrolet,2019,Colorado 4WD,427
Chevrolet,2020,Impala,427
Chevrolet,2019,Impala,462
Chevrolet,2023,Blazer FWD,462
Chevrolet,2022,Blazer FWD,418
Chevrolet,2024,Blazer FWD,418
Chevrolet,2022,Colorado 2WD,418
Chevrolet,2021,Colorado 2WD,418
Chevrolet,2024,Camaro,407
Chevrolet,2023,Camaro,296
Chevrolet,2022,Camaro,407
Chevrolet,2021,Camaro,296
Chevrolet,2020,Impala,504
Chevrolet,2019,Impala,504
Chevrolet,2021,Silverado 2WD,504
Chevrolet,2021,Silverado 2WD,504
Chevrolet,2020,Silverado 2WD,504
Chevrolet,2019,Silverado C10 2WD,504
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,456
Chevrolet,2024,Silverado 4WD ZR2,456
Chevrolet,2023,Blazer AWD,407
Chevrolet,2022,Blazer AWD,407
Chevrolet,2021,Blazer AWD,449
Chevrolet,2020,Blazer FWD,441
Chevrolet,2024,Colorado 2WD,441
Chevrolet,2022,Colorado 4WD,441
Chevrolet,2021,Colorado 4WD,441
Chevrolet,2020,Colorado 4WD,449
Chevrolet,2019,Colorado 4WD,456
Chevrolet,2023,Colorado 4WD,407
Chevrolet,2023,Traverse FWD,456
Chevrolet,2022,Traverse FWD,456
Chevrolet,2021,Traverse FWD,441
Chevrolet,2020,Traverse FWD,441
Chevrolet,2019,Traverse FWD,480
Chevrolet,2024,Blazer AWD,480
Chevrolet,2024,Traverse Limited FWD,480
Chevrolet,2020,Blazer AWD,480
Chevrolet,2019,Blazer AWD,480
Chevrolet,2022,Colorado 2WD,480
Chevrolet,2021,Colorado 2WD,480
Chevrolet,2023,Silverado 2WD,480
Chevrolet,2022,Silverado 2WD,480
Chevrolet,2022,Silverado 2WD,480
Chevrolet,2020,Silverado 2WD,480
Chevrolet,2021,Silverado 4WD,420
Chevrolet,2021,Silverado 4WD,420
Chevrolet,2020,Silverado 4WD,428
Chevrolet,2020,Silverado 4WD,480
Chevrolet,2019,Silverado C10 2WD,428
Chevrolet,2019,Silverado K10 4WD,480
Chevrolet,2023,Silverado 2WD,434
Chevrolet,2020,Colorado 2WD,480
Chevrolet,2019,Colorado 2WD,380
Chevrolet,2023,Colorado 2WD,380
Chevrolet,2024,Colorado 4WD,380
Chevrolet,2024,Colorado 4WD,380
Chevrolet,2024,Silverado 2WD,380
Chevrolet,2023,Traverse AWD,380
Chevrolet,2022,Traverse AWD,380
Chevrolet,2021,Traverse AWD,380
Chevrolet,2020,Traverse AWD,380
Chevrolet,2019,Traverse AWD,380
Chevrolet,2024,Traverse Limited AWD,380
Chevrolet,2020,Silverado 2WD,380
Chevrolet,2020,Camaro,399
Chevrolet,2019,Camaro,399
Chevrolet,2019,Camaro,399
Chevrolet,2024,Camaro,399
Chevrolet,2024,Camaro,456
Chevrolet,2023,Camaro,456
Chevrolet,2023,Camaro,456
Chevrolet,2022,Camaro,456
Chevrolet,2022,Camaro,399
Chevrolet,2021,Camaro,399
Chevrolet,2021,Camaro,399
Chevrolet,2020,Camaro,399
Chevrolet,2022,Colorado ZR2 4WD,456
Chevrolet,2021,Colorado ZR2 4WD,456
Chevrolet,2020,Colorado ZR2 4WD,456
Chevrolet,2019,Colorado ZR2 4WD,456
Chevrolet,2024,Silverado 4WD,407
Chevrolet,2023,Silverado 4WD,456
Chevrolet,2023,Silverado 4WD,456
Chevrolet,2019,Silverado K10 4WD,456
Chevrolet,2022,Colorado 4WD,352
Chevrolet,2021,Colorado 4WD,352
Chevrolet,2020,Colorado 4WD,361
Chevrolet,2019,Colorado 4WD,361
Chevrolet,2019,Silverado C10 XFE 2WD,361
Chevrolet,2021,Silverado 2WD,361
Chevrolet,2020,Silverado 2WD,361
Chevrolet,2019,Silverado C10 2WD,361
Chevrolet,2023,Colorado 4WD,352
Chevrolet,2024,Silverado 2WD,352
Chevrolet,2023,Silverado 2WD,352
Chevrolet,2023,Silverado 2WD,456
Chevrolet,2024,Corvette,456
Chevrolet,2019,Corvette,352
Chevrolet,2024,Camaro,352
Chevrolet,2023,Camaro,385
Chevrolet,2022,Camaro,432
Chevrolet,2021,Camaro,432
Chevrolet,2020,Camaro,385
Chevrolet,2019,Camaro,432
Chevrolet,2023,Corvette,432
Chevrolet,2022,Corvette,432
Chevrolet,2024,Corvette E-RAY,432
Chevrolet,2021,Silverado 4WD,432
Chevrolet,2020,Silverado 4WD,432
Chevrolet,2021,Corvette,432
Chevrolet,2020,Corvette,432
Chevrolet,2024,Colorado Mud Terrain Tires 4WD,432
Chevrolet,2022,Silverado 4WD,432
Chevrolet,2022,Silverado 4WD,432
Chevrolet,2023,Colorado Mud Terrain Tires 4WD,432
Chevrolet,2024,Silverado 4WD,432
Chevrolet,2024,Silverado 2WD,432
Chevrolet,2021,Silverado 4WD,432
Chevrolet,2020,Silverado 4WD,312
Chevrolet,2019,Silverado K10 4WD,432
Chevrolet,2024,Silverado 2WD,312
Chevrolet,2022,Silverado 2WD,432
Chevrolet,2022,Silverado 2WD,432
Chevrolet,2022,Silverado 2WD,504
Chevrolet,2022,Silverado 2WD,432
Chevrolet,2021,Silverado 4WD,432
Chevrolet,2021,Silverado 4WD TrailBoss,333
Chevrolet,2020,Silverado 4WD TrailBoss,558
Chevrolet,2020,Silverado 4WD TrailBoss,403
Chevrolet,2024,Silverado 2WD,558
Chevrolet,2023,Silverado 2WD,558
Chevrolet,2023,Silverado 2WD,558
Chevrolet,2022,Silverado 4WD,403
Chevrolet,2021,Suburban 2WD,468
Chevrolet,2021,Tahoe 2WD,338
Chevrolet,2021,Tahoe 4WD,468
Chevrolet,2019,Corvette,468
Chevrolet,2020,Suburban C1500 2WD,468
Chevrolet,2020,Suburban C1500 2WD,338
Chevrolet,2019,Suburban C1500 2WD,432
Chevrolet,2019,Suburban C1500 2WD,408
Chevrolet,2020,Tahoe C1500 2WD,364
Chevrolet,2020,Tahoe C1500 2WD,408
Chevrolet,2019,Tahoe C1500 2WD,408
Chevrolet,2019,Tahoe C1500 2WD,408
Chevrolet,2021,Silverado 4WD,408
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,408
Chevrolet,2024,Colorado ZR2 4WD,408
Chevrolet,2021,Silverado 2WD,408
Chevrolet,2020,Silverado 2WD,408
Chevrolet,2019,Silverado C10 2WD,357
Chevrolet,2023,Silverado 4WD,357
Chevrolet,2023,Silverado 4WD,357
Chevrolet,2023,Silverado 4WD,357
Chevrolet,2020,Silverado 4WD,408
Chevrolet,2019,Silverado K10 4WD,408
Chevrolet,2022,Colorado ZR2 4WD,314
Chevrolet,2021,Colorado ZR2 4WD,408
Chevrolet,2020,Colorado ZR2 4WD,442
Chevrolet,2019,Colorado ZR2 4WD,408
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,408
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,408
Chevrolet,2019,Corvette Z06,408
Chevrolet,2021,Silverado 2WD,442
Chevrolet,2019,Silverado LD C15 2WD,442
Chevrolet,2021,Silverado 2WD,442
Chevrolet,2020,Silverado 2WD,338
Chevrolet,2021,Silverado 4WD TrailBoss,442
Chevrolet,2019,Silverado C10 2WD,338
Chevrolet,2019,Silverado LD K15 4WD,442
Chevrolet,2020,Tahoe K1500 4WD,408
Chevrolet,2020,Tahoe K1500 4WD,408
Chevrolet,2019,Tahoe K1500 4WD,408
Chevrolet,2019,Tahoe K1500 4WD,408
Chevrolet,2024,Silverado 4WD,408
Chevrolet,2024,Silverado 4WD,408
Chevrolet,2022,Silverado 4WD,408
Chevrolet,2022,Silverado 4WD,408
Chevrolet,2022,Silverado 4WD,408
Chevrolet,2021,Silverado 4WD,408
Chevrolet,2021,Silverado 4WD,408
Chevrolet,2021,Silverado 4WD,312
Chevrolet,2020,Silverado 4WD,408
Chevrolet,2020,Silverado 4WD,408
Chevrolet,2019,Silverado C10 2WD,408
Chevrolet,2019,Silverado K10 4WD,476
Chevrolet,2019,Silverado K10 4WD,476
Chevrolet,2019,Silverado K10 4WD TrailBoss,476
Chevrolet,2024,Suburban 2WD,476
Chevrolet,2023,Suburban 2WD,476
Chevrolet,2022,Suburban 2WD,476
Chevrolet,2022,Suburban 2WD,408
Chevrolet,2021,Suburban 2WD,408
Chevrolet,2021,Suburban 2WD,408
Chevrolet,2024,Tahoe 2WD,408
Chevrolet,2023,Tahoe 2WD,408
Chevrolet,2022,Tahoe 2WD,476
Chevrolet,2022,Tahoe 2WD,408
Chevrolet,2021,Tahoe 2WD,408
Chevrolet,2021,Tahoe 2WD,408
Chevrolet,2024,Tahoe 4WD,476
Chevrolet,2023,Tahoe 4WD,408
Chevrolet,2022,Tahoe 4WD,288
Chevrolet,2021,Tahoe 4WD,408
Chevrolet,2024,Silverado 4WD,408
Chevrolet,2024,Silverado 4WD,288
Chevrolet,2023,Silverado 4WD,408
Chevrolet,2023,Silverado 4WD,408
Chevrolet,2022,Silverado 4WD,408
Chevrolet,2021,Silverado 4WD TrailBoss,408
Chevrolet,2021,Silverado 4WD TrailBoss,408
Chevrolet,2020,Silverado 4WD TrailBoss,408
Chevrolet,2019,Silverado C10 Cab Chassis 2WD,288
Chevrolet,2021,Silverado Cab Chassis 2WD,408
Chevrolet,2020,Silverado Cab Chassis 2WD,288
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,476
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,314
Chevrolet,2021,Suburban 4WD,527
Chevrolet,2022,Silverado Cab Chassis 2WD,527
Chevrolet,2019,Corvette Z06,442
Chevrolet,2020,Suburban C1500 2WD,442
Chevrolet,2019,Suburban C1500 2WD,442
Chevrolet,2020,Tahoe C1500 2WD,442
Chevrolet,2019,Tahoe C1500 2WD,384
Chevrolet,2020,Tahoe K1500 4WD,342
Chevrolet,2019,Tahoe K1500 4WD,342
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,384
Chevrolet,2023,Colorado ZR2 4WD,384
Chevrolet,2024,Colorado ZR2 Bison 4WD,288
Chevrolet,2024,Silverado 2WD,384
Chevrolet,2022,Silverado 2WD,288
Chevrolet,2021,Silverado 2WD,384
Chevrolet,2020,Silverado 2WD,288
Chevrolet,2024,Silverado 4WD,384
Chevrolet,2022,Silverado 4WD,384
Chevrolet,2019,Silverado K10 4WD,384
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,288
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,384
Chevrolet,2023,Suburban 4WD,384
Chevrolet,2022,Suburban 4WD,448
Chevrolet,2021,Suburban 4WD,448
Chevrolet,2024,Silverado Cab Chassis 2WD,448
Chevrolet,2023,Silverado Cab Chassis 2WD,384
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,384
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,384
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,448
Chevrolet,2024,Suburban 4WD,384
Chevrolet,2023,Silverado Cab Chassis 4WD,384
Chevrolet,2022,Silverado Cab Chassis 4WD,496
Chevrolet,2021,Silverado 2WD,372
Chevrolet,2021,Silverado 4WD,496
Chevrolet,2020,Suburban K1500 4WD,496
Chevrolet,2020,Suburban K1500 4WD,372
Chevrolet,2019,Suburban K1500 4WD,496
Chevrolet,2019,Suburban K1500 4WD,304
Chevrolet,2024,Camaro,304
Chevrolet,2023,Camaro,304
Chevrolet,2022,Camaro,304
Chevrolet,2021,Camaro,304
Chevrolet,2020,Camaro,304
Chevrolet,2019,Camaro,384
Chevrolet,2021,Silverado 4WD,448
Chevrolet,2024,Suburban 2WD,448
Chevrolet,2023,Suburban 2WD,448
Chevrolet,2022,Suburban 2WD,448
Chevrolet,2022,Suburban 2WD,448
Chevrolet,2021,Suburban 2WD,496
Chevrolet,2020,Suburban K1500 4WD,496
Chevrolet,2019,Suburban K1500 4WD,384
Chevrolet,2024,Tahoe 2WD,384
Chevrolet,2023,Tahoe 2WD,384
Chevrolet,2022,Tahoe 2WD,384
Chevrolet,2022,Tahoe 2WD,448
Chevrolet,2021,Tahoe 2WD,384
Chevrolet,2022,Silverado 4WD,384
Chevrolet,2022,Silverado 4WD,384
Chevrolet,2022,Silverado 4WD,384
Chevrolet,2021,Silverado 4WD TrailBoss,384
Chevrolet,2019,Silverado C10 Cab Chassis 2WD,448
Chevrolet,2022,Suburban 4WD,448
Chevrolet,2022,Suburban 4WD,448
Chevrolet,2022,Suburban 4WD,448
Chevrolet,2021,Suburban 4WD,384
Chevrolet,2022,Tahoe 4WD,384
Chevrolet,2022,Tahoe 4WD,384
Chevrolet,2022,Tahoe 4WD,384
Chevrolet,2021,Tahoe 4WD,384
Chevrolet,2022,Silverado 4WD,288
Chevrolet,2022,Silverado 4WD,384
Chevrolet,2021,Silverado 4WD,384
Chevrolet,2020,Silverado 4WD,288
Chevrolet,2021,Silverado 4WD TrailBoss,384
Chevrolet,2021,Silverado 4WD TrailBoss,288
Chevrolet,2020,Silverado 4WD TrailBoss,384
Chevrolet,2020,Silverado 4WD TrailBoss,384
Chevrolet,2019,Silverado K10 4WD TrailBoss,384
Chevrolet,2019,Silverado K10 4WD TrailBoss,384
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,384
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,384
Chevrolet,2024,Suburban 4WD,384
Chevrolet,2023,Suburban 4WD,384
Chevrolet,2024,Tahoe 4WD,448
Chevrolet,2024,Tahoe 4WD,448
Chevrolet,2023,Tahoe 4WD,384
Chevrolet,2023,Tahoe 4WD,384
Chevrolet,2024,Camaro,384
Chevrolet,2023,Camaro,384
Chevrolet,2022,Camaro,304
Chevrolet,2021,Camaro,304
Chevrolet,2020,Camaro,304
Chevrolet,2019,Camaro,304
Chevrolet,2021,Suburban 4WD,304
Chevrolet,2021,Tahoe 4WD,304
Chevrolet,2019,Colorado Cab Chassis 2WD,448
Chevrolet,2020,Silverado 4WD TrailBoss,448
Chevrolet,2021,Silverado Cab Chassis 2WD,315
Chevrolet,2020,Silverado Cab Chassis 2WD,360
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,360
Chevrolet,2024,Silverado 4WD ZR2,360
Chevrolet,2023,Silverado 4WD ZR2,360
Chevrolet,2022,Silverado 4WD ZR2,360
Chevrolet,2022,Silverado Cab Chassis 2WD,360
Chevrolet,2024,Silverado Cab Chassis 4WD,360
Chevrolet,2022,Silverado Cab Chassis 4WD,360
Chevrolet,2021,Silverado Cab Chassis 4WD,360
Chevrolet,2020,Silverado Cab Chassis 4WD,360
Chevrolet,2019,Silverado K10 Cab Chassis 4WD,264
Chevrolet,2019,Silverado K10 Cab Chassis 4WD,278
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,360
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,360
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,278
Chevrolet,2021,Silverado Cab Chassis 4WD,278
Chevrolet,2020,Silverado Cab Chassis 4WD,278
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,336
Chevrolet,2019,Corvette ZR1,259
Chevrolet,2021,Silverado 4WD TrailBoss,259
Chevrolet,2022,Silverado Cab Chassis 4WD,247
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,247
Chevrolet,2024,Corvette Z06,314
Chevrolet,2023,Corvette Z06,305
Chevrolet,2019,Corvette ZR1,250
Chevrolet,2021,Silverado Cab Chassis 2WD,230
Chevrolet,2021,Silverado Cab Chassis 4WD,310
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,312
Chevrolet,2024,Corvette Z06 Carbon Aero,312
Chevrolet,2023,Corvette Z06 Carbon Aero,303
Ford,2023,Mustang Mach-E RWD,300
Ford,2022,Mustang Mach-E RWD,211
Ford,2022,Mustang Mach-E CAL RT 1 ER RWD,224
Ford,2021,Mustang Mach-E RWD California Route 1,224
Ford,2023,Mustang Mach-E RWD LFP,290
Ford,2021,Mustang Mach-E RWD,277
Ford,2023,Mustang Mach-E RWD Extended,270
Ford,2023,MUSTANG MACH-E CAL RT 1 ER AWD,270
Ford,2022,Mustang Mach-E CAL RT 1 ER AWD,270
Ford,2022,Mustang Mach-E RWD Extended,270
Ford,2021,Mustang Mach-E RWD Extended,260
Ford,2021,Mustang Mach-E AWD,260
Ford,2023,Mustang Mach-E AWD,260
Ford,2022,Mustang Mach-E AWD,320
Ford,2023,Mustang Mach-E AWD Extended,320
Ford,2022,Mustang Mach-E AWD Extended,240
Ford,2021,Mustang Mach-E AWD Extended,230
Ford,2023,Mustang Mach-E GT,300
Ford,2022,Mustang Mach-E GT,300
Ford,2021,Mustang Mach-E GT,588
Ford,2023,Mustang Mach-E GT Performance,588
Ford,2022,Mustang Mach-E GT Performance,582
Ford,2021,Mustang Mach-E GT Performance,574
Ford,2023,F-150 Lightning 4WD Extended Range,574
Ford,2022,F-150 Lightning 4WD Extended Range,568
Ford,2023,F-150 Lightning 4WD,558
Ford,2022,F-150 Lightning 4WD,558
Ford,2022,Escape FWD PHEV,558
Ford,2021,Escape FWD PHEV,558
Ford,2020,Escape FWD PHEV,511
Ford,2023,F-150 Lightning Platinum 4WD,511
Ford,2022,F-150 Lightning Platinum 4WD,511
Ford,2023,Escape FWD PHEV,384
Ford,2020,Fusion Energi Plug-in Hybrid,444
Ford,2019,Fusion Energi Plug-in Hybrid,372
Ford,2020,Fusion Special Service PHEV,444
Ford,2019,Fusion Special Service Vehicle PHEV,444
Ford,2020,Fusion Hybrid FWD,386
Ford,2019,Fusion Hybrid FWD,386
Ford,2022,Escape FWD HEV,381
Ford,2021,Escape FWD HEV,504
Ford,2020,Escape FWD HEV,440
Ford,2020,Fusion Hybrid Taxi,440
Ford,2019,Fusion Hybrid Taxi,440
Ford,2022,Escape AWD HEV,347
Ford,2021,Escape AWD HEV,486
Ford,2020,Escape AWD HEV,486
Ford,2024,Escape AWD HEV,486
Ford,2023,Escape AWD HEV,446
Ford,2024,Escape FWD HEV,446
Ford,2023,Escape FWD HEV,416
Ford,2024,Maverick HEV FWD,416
Ford,2022,Maverick HEV FWD,416
Ford,2023,Maverick HEV FWD,416
Ford,2019,Fiesta FWD,468
Ford,2022,Escape FWD,468
Ford,2021,Escape FWD,411
Ford,2019,Fiesta FWD,300
Ford,2024,Escape FWD,411
Ford,2023,Escape FWD,300
Ford,2020,Escape FWD,411
Ford,2021,EcoSport FWD,300
Ford,2020,EcoSport FWD,411
Ford,2019,EcoSport FWD,411
Ford,2020,Explorer HEV RWD,411
Ford,2024,Escape AWD,411
Ford,2023,Escape AWD,284
Ford,2022,Escape AWD,411
Ford,2021,Escape AWD,411
Ford,2020,Escape AWD,408
Ford,2019,Fiesta ST FWD,408
Ford,2023,Explorer HEV RWD,408
Ford,2022,Explorer HEV RWD,429
Ford,2021,Explorer HEV RWD,429
Ford,2020,Fusion FWD,408
Ford,2019,Fusion FWD,765
Ford,2024,Bronco Sport 4WD,765
Ford,2023,Bronco Sport 4WD,395
Ford,2022,Bronco Sport 4WD,395
Ford,2021,Bronco Sport 4WD,395
Ford,2023,Explorer Platinum HEV RWD,300
Ford,2022,Explorer Platinum HEV RWD,395
Ford,2021,Transit Connect Wagon LWB FFV,300
Ford,2020,Transit Connect Wagon LWB FFV,395
Ford,2019,Transit Connect Wagon LWB FFV,300
Ford,2021,Transit Connect Wagon LWB FWD,395
Ford,2020,Transit Connect Wagon LWB FWD,300
Ford,2019,Transit Connect Wagon LWB FWD,395
Ford,2022,Transit Connect Wagon LWB FFV,395
Ford,2023,Transit Connect Wagon LWB FWD,395
Ford,2022,Transit Connect Wagon LWB FWD,345
Ford,2024,Escape AWD,345
Ford,2023,Escape AWD,345
Ford,2021,Escape AWD,340
Ford,2020,Escape AWD,450
Ford,2019,Escape FWD,450
Ford,2024,Maverick FWD,450
Ford,2022,Maverick FWD,450
Ford,2024,Mustang,388
Ford,2022,Escape AWD,398
Ford,2021,F150 Pickup 2WD HEV,575
Ford,2023,F150 Pickup 2WD HEV,462
Ford,2022,F150 Pickup 2WD HEV,392
Ford,2020,Transit Connect Van 2WD,412
Ford,2019,Transit Connect Van 2WD,412
Ford,2022,Transit Connect Van FFV,398
Ford,2021,Transit Connect Van FFV,388
Ford,2020,Transit Connect Van FFV,388
Ford,2019,Transit Connect Van FFV,388
Ford,2022,Transit Connect Van FWD,388
Ford,2021,Transit Connect Van FWD,412
Ford,2023,Transit Connect Van FWD,412
Ford,2023,Maverick FWD,412
Ford,2022,EcoSport AWD,388
Ford,2021,EcoSport AWD,734
Ford,2020,EcoSport AWD,377
Ford,2019,EcoSport AWD,552
Ford,2023,Explorer HEV AWD,396
Ford,2022,Explorer HEV AWD,372
Ford,2021,Explorer HEV AWD,372
Ford,2020,Explorer HEV AWD,444
Ford,2023,Mustang,444
Ford,2022,Mustang,377
Ford,2019,F150 Pickup 2WD,377
Ford,2019,Edge FWD,283
Ford,2019,Escape FWD,624
Ford,2024,Maverick AWD,372
Ford,2022,Maverick AWD,382
Ford,2022,Mustang,372
Ford,2021,Mustang,430
Ford,2021,Mustang,430
Ford,2020,Mustang,430
Ford,2019,Mustang,430
Ford,2020,Fusion FWD,430
Ford,2019,Fusion FWD,430
Ford,2019,Fusion FWD,624
Ford,2019,Mustang,624
Ford,2021,F150 Pickup 4WD HEV,552
Ford,2019,Escape AWD,414
Ford,2019,F150 2WD BASE PAYLOAD LT TIRE,414
